usuario,cant_tw_nivel1_7_11,cant_tw_nivel2_7_11,cant_tw_nivel1_ejecucion,cant_tw_nivel2_ejecucion,duracion_seg
todonoticias,1000,1031,200,214,1821.6388201713562
clarincom,401,1018,203,202,1803.1670470237732
LANACION,292,1027,200,216,1802.2345089912415
pagina12,179,1013,200,212,927.8811621665955
C5N,498,1035,200,216,1814.609657049179
infobae,1000,1010,200,208,2690.9377160072327
cronica,573,532,200,217,1791.6891498565674
A24COM,475,993,200,222,1804.0036919116974
CasaRosada,1,38,20,152,13.29192590713501
CFKArgentina,2,1025,84,220,917.8788530826569
JMilei,24,1106,325,230,1794.4563369750977
SergioMassa,0,23,211,86,14.89156699180603
mauriciomacri,5,1079,172,247,1785.931871175766
perfilcom,737,410,200,201,920.2696869373322
radiomitre,411,1025,200,208,1805.7141399383545
AmericaTV,215,133,200,218,896.153079032898
eldestape,0,0,1,28,3.860582113265991
canal26,0,0,60,226,885.4644110202789
tycsports,421,1020,200,201,1805.4089782238007
TNTSportsAR,470,1018,200,200,1804.0218799114227
