nivel,usuario_objetivo,periodo,id,date,text,username,user_displayname,user_id,reply_count,retweet_count,like_count,quote_count,views_count,lang,url,user_followers,user_verified
1,todonoticias,rango,1986583511143489548,2025-11-07T02:56:32Z,"Supermercados liquidan pequeños electrodomésticos desde $27.999,30 y con hasta 76% de descuento https://t.co/mDHJEsrJsn",todonoticias,TN - Todo Noticias,25992212,3,2,9,0,6482,es,https://x.com/todonoticias/status/1986583511143489548,6164134,FALSE
1,todonoticias,rango,1986583027133169735,2025-11-07T02:54:37Z,A un paso de la confirmación: el sugerente posteo de Alpine sobre la renovación de Franco Colapinto https://t.co/tJ9TBgWTFF,todonoticias,TN - Todo Noticias,25992212,0,1,8,0,5862,es,https://x.com/todonoticias/status/1986583027133169735,6164134,FALSE
1,todonoticias,rango,1986582923198538156,2025-11-07T02:54:12Z,José C. Paz: cómo sigue la salud de la nena que sobrevivió al accidente en el que murieron sus padres https://t.co/VseJCg7YiW,todonoticias,TN - Todo Noticias,25992212,0,2,2,0,5708,es,https://x.com/todonoticias/status/1986582923198538156,6164134,FALSE
1,todonoticias,rango,1986580950310949294,2025-11-07T02:46:22Z,"AHORA | A un paso de la confirmación: el sugerente posteo de Alpine sobre la renovación de Franco Colapinto

https://t.co/CJXX00r9bc https://t.co/Bwb7B5LMnY",todonoticias,TN - Todo Noticias,25992212,1,8,57,2,19658,es,https://x.com/todonoticias/status/1986580950310949294,6164134,FALSE
1,todonoticias,rango,1986578201871618437,2025-11-07T02:35:26Z,"Participó en “La Voz Argentina”, lo eliminaron antes de la final y ahora consiguió el trabajo de su sueños https://t.co/EiyyPcz0TM",todonoticias,TN - Todo Noticias,25992212,1,3,6,0,6212,es,https://x.com/todonoticias/status/1986578201871618437,6164134,FALSE
1,todonoticias,rango,1986575458549248187,2025-11-07T02:24:32Z,De película: cavó un pozo en el patio de su casa para hacer una pileta y encontró lingotes de oro por 800 mil dólares https://t.co/2CFrn331tm,todonoticias,TN - Todo Noticias,25992212,48,81,2041,35,164184,es,https://x.com/todonoticias/status/1986575458549248187,6164134,FALSE
1,todonoticias,rango,1986573867570372843,2025-11-07T02:18:13Z,“Pensamos que era un piedrazo”: el relato de las amigas de la mujer baleada mientras navegaba en Escobar https://t.co/I0d9zbEiyN,todonoticias,TN - Todo Noticias,25992212,1,1,6,0,6267,es,https://x.com/todonoticias/status/1986573867570372843,6164134,FALSE
1,todonoticias,rango,1986572865261666418,2025-11-07T02:14:14Z,Pocos lo saben: por qué recomiendan poner un atrapasueños en el jardín de las casas https://t.co/GQ4N0sd6ZL,todonoticias,TN - Todo Noticias,25992212,1,2,3,0,5770,es,https://x.com/todonoticias/status/1986572865261666418,6164134,FALSE
1,todonoticias,rango,1986571921333309587,2025-11-07T02:10:29Z,"La dramática historia de un joven de 23 años: le dolía el cuello, le recetaron analgésicos, pero tenía cáncer https://t.co/faC81eRiJf",todonoticias,TN - Todo Noticias,25992212,0,1,6,0,5975,es,https://x.com/todonoticias/status/1986571921333309587,6164134,FALSE
1,todonoticias,rango,1986569324182618470,2025-11-07T02:00:10Z,"Quién es Nawat Itsaragrisil, el empresario que fue expulsado de Miss Universo por maltratar a las candidatas https://t.co/jxK05O9fBT",todonoticias,TN - Todo Noticias,25992212,1,1,5,1,5757,es,https://x.com/todonoticias/status/1986569324182618470,6164134,FALSE
1,todonoticias,rango,1986567072265216412,2025-11-07T01:51:13Z,Adiós a las baldosas de siempre: la nueva tendencia que promete transformar los pisos de tu casa en 2026 https://t.co/n91qG3HBj0,todonoticias,TN - Todo Noticias,25992212,0,1,2,0,5071,es,https://x.com/todonoticias/status/1986567072265216412,6164134,FALSE
1,todonoticias,rango,1986566610463621323,2025-11-07T01:49:23Z,Ordenan la quiebra y liquidación de la firma que producía postres y yogures bajo la marca SanCor https://t.co/lrBVT2qVxY,todonoticias,TN - Todo Noticias,25992212,2,7,17,2,6031,es,https://x.com/todonoticias/status/1986566610463621323,6164134,FALSE
1,todonoticias,rango,1986564810394509797,2025-11-07T01:42:14Z,Las bananas se mantendrán frescas por 26 días sin ponerse marrones si las guardás de esta forma en la cocina https://t.co/2bMjbE1JCM,todonoticias,TN - Todo Noticias,25992212,0,1,4,0,5256,es,https://x.com/todonoticias/status/1986564810394509797,6164134,FALSE
1,todonoticias,rango,1986563813127373243,2025-11-07T01:38:16Z,La broma de Milei sobre Messi en su discurso en Miami: “Yo también puedo a veces felicitar a un zurdo” https://t.co/wuCFvckQ9d,todonoticias,TN - Todo Noticias,25992212,3,6,25,0,6201,es,https://x.com/todonoticias/status/1986563813127373243,6164134,FALSE
1,todonoticias,rango,1986563131875991608,2025-11-07T01:35:33Z,Escobar: un testigo filmó a la lancha un momento después de que la mujer recibiera un disparo por la espalda https://t.co/bNxRmEPl24,todonoticias,TN - Todo Noticias,25992212,2,9,12,0,9863,es,https://x.com/todonoticias/status/1986563131875991608,6164134,FALSE
1,todonoticias,rango,1986562542416925150,2025-11-07T01:33:13Z,"Toti Levy, experta en orden: “Esta forma de guardar la ropa puede deformarla” https://t.co/sAEvLfc9rT",todonoticias,TN - Todo Noticias,25992212,1,1,1,0,5206,es,https://x.com/todonoticias/status/1986562542416925150,6164134,FALSE
1,todonoticias,rango,1986560866205245656,2025-11-07T01:26:33Z,Adiós a los tuppers desordenados en cocina: la nueva pieza que organiza y decora al mismo tiempo https://t.co/P8hJ4L0KBB,todonoticias,TN - Todo Noticias,25992212,0,1,2,0,6861,es,https://x.com/todonoticias/status/1986560866205245656,6164134,FALSE
1,todonoticias,rango,1986560278579069032,2025-11-07T01:24:13Z,Milei anunció que la Argentina le comprará submarinos y buques a Francia para patrullar las costas https://t.co/rHplXVy5gm,todonoticias,TN - Todo Noticias,25992212,2,3,23,1,6618,es,https://x.com/todonoticias/status/1986560278579069032,6164134,FALSE
1,todonoticias,rango,1986557310571794654,2025-11-07T01:12:25Z,El error más común que afecta la espalda cuando dormís sin que lo notes https://t.co/G7wzU1bJjA,todonoticias,TN - Todo Noticias,25992212,0,1,8,0,5222,es,https://x.com/todonoticias/status/1986557310571794654,6164134,FALSE
1,todonoticias,rango,1986554254857838877,2025-11-07T01:00:17Z,Pedro Aznar presenta su nuevo trabajo: “Lo compuse y lo grabé en mi casa” https://t.co/LABXK2RyjA,todonoticias,TN - Todo Noticias,25992212,1,4,10,0,4855,es,https://x.com/todonoticias/status/1986554254857838877,6164134,FALSE
1,todonoticias,rango,1986551222179082446,2025-11-07T00:48:14Z,Licuar cáscaras de banana y limón: por qué recomiendan hacerlo y para qué sirve en casa https://t.co/gZ2m7cu4Wr,todonoticias,TN - Todo Noticias,25992212,0,3,4,0,4738,es,https://x.com/todonoticias/status/1986551222179082446,6164134,FALSE
