id,fecha,usuario,ubicacion_perfil,texto
2005786007372001767,2025-12-29 23:40:24+00:00,gustavo4934,"Buenos Aires, Argentina",@SilvioR41714222 @jmartinianoduar Chupala zurdo hdp.
2005784693212402112,2025-12-29 23:35:11+00:00,Elgaucholiberal,Buenos aires,"@GonzoST26 @RPN_Oficial @jorgemacri @CORREPI No, ese pelotudo no hace una mierda. Aca el que las hace las paga, te haces el picante! Bancatela zurdo de mierda"
2005784462517494020,2025-12-29 23:34:16+00:00,Elgaucholiberal,Buenos aires,"@ElAntisistemaok @yippeekiyaymo @RPN_Oficial Estos no son nuestros projimos son negros de mierda que no sirven para nada, asi que no te hagas el picante con la policia porque vas a terminar igual zurdo de mierda"
2005784432322781602,2025-12-29 23:34:08+00:00,Pyvzonanorte,"Vicente López, Argentina","@Ezequie80795582 Para que amigue, ya mostraste la hilacha, te molesta que le pegue a los kukardos? La juegas de Dios patria y familia y en 2027 vas a votar a kicillof porque en el fondo sos un zurdo y un degenerado más."
2005784247429419304,2025-12-29 23:33:24+00:00,fegattoni,,@sebasassanocaba Otro zurdo opinando...
2005783447655080399,2025-12-29 23:30:14+00:00,ARG_josu,"José María Ezeiza, Argentina","@JaviLozLL1 @RMXnews Y vos zurdo petrista, re contra pelotudo"
2005781823389880814,2025-12-29 23:23:46+00:00,RiverRMG,"Buenos Aires, Argentina",RIVER Y LA BÚSQUEDA IMPERIOSA DE UN LATERAL IZQUIERDO   3️⃣🤔Gallardo pretende sí o sí la incorporación de un marcador de punta zurdo para competir con Acuña. ¿Quiénes son los apuntados y a quiénes llamaron?  + Info 👇 https://t.co/VI0SlFYp8E
2005780968611758480,2025-12-29 23:20:23+00:00,Ainfranco,Santa Fe-ARG,"@termo_8 puede ser, tipico de zurdo sentirse profeta y no pegar una!!"
2005779805501882718,2025-12-29 23:15:45+00:00,_eze_quiel,Tucuman city tour,"@RossiPJJ @clarincom ah claro, vos porque sos zurdo fanatico de delincuentes no hay que investigarlo?  queres hablar del invento eso del oro? anda busca una publicacion y metele pilas...  payaso"
2005778914690601366,2025-12-29 23:12:13+00:00,ig_mendi,Argentina,"@johnsixx256 Hacelo vos si es tan asi, zurdo resentido y fracasado. Encima usas su red social, jajajajajaja flor de estúpido"
2005778016396533947,2025-12-29 23:08:39+00:00,TheRipperHunter,"San Luis, Argentina",@House0fScarletW @ladypoppy02 @eldiariodedross Le dolió el comentario al zurdo https://t.co/tx8lL1zAwD
