id,fecha,usuario,texto
2007602876827480307,2026-01-03 23:59:59+00:00,Esperan99229664,"@Marga_PSOE Tanta felicidad no cabe en mi cuerpo hoy 🥳🥳🥳🥳 ,el mejor regalo de Reyes 👏👏👏 ahora solo falta que Pedrito le haga compañía al su querido amigo maduro ,eso sería toda una fantasía"
2007602876575555980,2026-01-03 23:59:59+00:00,SaraHispania,🔴 ULTIMA HORA 🔴  🇺🇸 USA.  🔴 📹 El dictador comunista Maduro llega a New York (Nueva York) esposado tras su captura en Caracas (Venezuela 🇻🇪).  🔴 ✒️ El mundo libre celebra y agradece el apresamiento del tirano Maduro.  ‼️Viva Venezuela 🇻🇪 libre‼️  💧La democracia y la libertad se hacen respetar.
2007602875955052558,2026-01-03 23:59:59+00:00,angelitamuse,"@nrkotwt @vidalcvale @vittorioO1974 Yo dije que maduro era bueno? Comprensión lectora por favor, nadie está hablando de ese sujeto."
2007602875699274017,2026-01-03 23:59:59+00:00,merchitaruiz,@elojoquetodolv La lerdas sois las que defendéis al tirano de Maduro
2007602875493646513,2026-01-03 23:59:59+00:00,jean25912,"@JMaquiavello Jordi de verdad te admiro, eres un grande de Youtube y el cine, pero aquí sí patinaste, es verdad que USA es muy conveniente, pero aquí no había otra salida, nadie tenía los medios para acabar con la rata  asquerosa de Maduro"
2007602874474520907,2026-01-03 23:59:59+00:00,FloMa292,@rodolfocarter Así que tú fuiste el que capturó a Maduro 🤣🤣🤣 https://t.co/5mJ7r1wJwx
2007602873966964868,2026-01-03 23:59:59+00:00,LuiferGonzalez9,"@ABDELAESPRIELLA La región recuperándose del cáncer socialista, sumado a la captura del narcocriminal Nicolás Maduro, indica que los buenos vientos vienen para Colombia en 2026.   @ABDELAESPRIELLA 🫡"
2007602873178505676,2026-01-03 23:59:59+00:00,jose10717,@Catarsisp Si son pro Trump o pro Maduro pueden seguir derecho
2007602870544396288,2026-01-03 23:59:58+00:00,unfollow_commie,"@Antonio26844708 @juanrallo @edugaresp Lo que dije es que Rallo es un hipócrita. Eso no es un insulto cuando llama a un ataque a otro país “las formas de Trump” (que supongo se pueden extender a participar en un genocidio en Oriente Medio, “las formas”) y luego se indigne tanto con Maduro.   ES UN HECHO."
2007602870229889117,2026-01-03 23:59:58+00:00,deptdememes,Diddy recibiendo a Maduro https://t.co/SBDjI62Cmb
2007602868396929524,2026-01-03 23:59:57+00:00,elalbertomedina,"🔴 ""Nicolás Maduro tuvo múltiples oportunidades para evitar esto; eligió comportarse como un hombre salvaje"", dice Marco Rubio, secretario de Estado de #EEUU tras la captura del presidente de #Venezuela.  📹 @USAenEspanol https://t.co/ygdowt67hb"
2007602864332648809,2026-01-03 23:59:56+00:00,oscarulloa01,Ya le fueron a preguntar a Celso Borges y Joseph Joseph qué piensan de Venezuela y Maduro?
2007602862201651347,2026-01-03 23:59:56+00:00,T13,🟠Así vive Caracas la captura de Maduro  EN VIVO #T13Central » https://t.co/tdFda9tz69 https://t.co/vA6WY5v8nY
2007602862134865941,2026-01-03 23:59:56+00:00,rkrdozzz,"Superman no seria defensor de maduro, tampoco de la invasión y bombardeo de estados unidos a Caracas"
2007505618857537572,2026-01-03 17:33:31+00:00,KarbienPiss,Como ven 🫴 https://t.co/neWYx9odh0
2007602861497299035,2026-01-03 23:59:56+00:00,RunRunesWeb,"El general Dan Caine afirmó que el equipo mantuvo el “elemento de sorpresa” y llegó al complejo de Maduro a las 2:01 am en Caracas, aislando la zona y deteniendo a los individuo  https://t.co/Bcr64TkP02"
2007602860851359750,2026-01-03 23:59:56+00:00,crowweapon,Que haya salido Maduro fue bueno. A costa de que? prostituir su petróleo. No olvidemos y el mismo @realDonaldTrump admitió que va por el oro negro.
2007602860142518472,2026-01-03 23:59:55+00:00,areliche1977,"Todos esos hijos de pugta que defienden a maduro , @RicardoPatinoEC @RC5Oficial @BancadaRC5 @LuisaGonzalezEc  ustedes jamás van a entender lo que sufrió está gente .."
2007564937581809819,2026-01-03 21:29:14+00:00,VaneDeCol,Este video pásenselo a todos los hijos de puta que están diciendo que esa extracción no era la forma y que debían ser los venezolanos los que debían solucionar el problema.   QUE MÁS PODÍAN HACER?   QUE MÁS? https://t.co/fUTiUdPrfQ
2007602859123323006,2026-01-03 23:59:55+00:00,algodetodoynada,@petrogustavo Ahora para todos maduro era un santo...wow...que presidente tiene colombia y la gente que no lo saca
2007602857495982131,2026-01-03 23:59:55+00:00,LordHumungus29,@Herensugea_ Se llevaron a Maduro y se dieron el lujo de volar en pedazos los restos de Chávez 😂
2007602856879382614,2026-01-03 23:59:55+00:00,TadeKostoff,Los que se quejan de que trump haya decidido gobernar Venezuela???????? Si amigo nos llevamos a maduro pero vamos a dejar que su partido y toda su gente siga gobernando 👍👍👍👍
2007602856820719900,2026-01-03 23:59:55+00:00,Hecyo80,@sstvrgirl_ Me vale verga ya tumbaron a maduro porfin 🗣️‼️🔥 *chilla*
2007602856191467900,2026-01-03 23:59:55+00:00,xoan3578986,@PabloEchenique Todo el apoyo a quien detiene a un narcodictador criminal como Maduro. Libertades y derechos para los ciudadanos venezolanos a pesar de la extrema izquierda española.
2007602853549092928,2026-01-03 23:59:54+00:00,iloveadam2much,Maduro adelantó la Navidad y Trump adelantó los Carnavales! 💯💯💯 #GRACIASDONALDTRUMP
2007602853448130918,2026-01-03 23:59:54+00:00,grok,"Sí, según fuentes como BBC, Reuters y reportes en X, se confirmaron ataques de EE.UU. en Venezuela el 3 de enero de 2026, con explosiones en Caracas y sitios como Fuerte Tiuna, aeropuertos y bases militares. Maduro fue capturado. Vistas divergen: EE.UU. lo justifica; Venezuela lo denuncia como agresión."
2007602852576014696,2026-01-03 23:59:54+00:00,Marototuit,@Ousitotravelle2 @VendettaParker @alandete Pues no me ha no leído bien porque : a) No cuestionaba la detención de Maduro sino la de su esposa.   b) sí esperaba que me contestaran.  c) Las leyes y tratados sí que amparan a todos los presuntos delincuentes. Son garantistas.
2007602852458573954,2026-01-03 23:59:54+00:00,ex_kal,@matecastano @DanielFLopezP Cual era la probabilidad de capturar a Maduro? Muy seguramente casi nadie pensaba que podría pasar y ...
2007602851758178636,2026-01-03 23:59:53+00:00,Matt_fdc,"En la que Maduro empiece a cantar ahora como buen lloron puto y comunista que es, se le viene la noche a todos los kukas."
2007602850789290186,2026-01-03 23:59:53+00:00,JVravo7hay,@sandra_chindoy Van a morir engañados por las estupideces. Estos idiotas defienden el proyecto mafioso de Maduro porque están alineados con los carteles de FARC y ELN. Uds son de la misma orilla. Cuál petroleo🛢️Son problemas de narco. Es un problema para el mundo. Y Trump lo solucionó
2007602849187066338,2026-01-03 23:59:53+00:00,amaranto92,@SantosTuto @adrianvalero @DianaSaray Por eso mi pendejo. No había otro camino. Maduro no respetó su palabra de entregar el poder al perder las elecciones.
2007602849036038251,2026-01-03 23:59:53+00:00,JokerspyN,@stanleybostero El agente M? Si gracias a él y su heroismo han podido capturar a maduro. Es un patriota norteamericano que se jugó la vida (y su dignidad) para infiltrarse y derrocar al malvado superbigote
2007602848771776758,2026-01-03 23:59:53+00:00,pixeluno,El hambre es cabrona y Maduro lo sabía. HDSPM!
2007488120535515159,2026-01-03 16:23:59+00:00,Argenpoirot,Los que tenían que derribar los helicópteros que capturaron a Nicolás Maduro: https://t.co/pXOTepX75r
2007602848545288279,2026-01-03 23:59:53+00:00,Oscar2704691101,"Alguien vió a los 30 millones de venezolanos que ""apoyan"" a Nicolás Maduro salir a defenderlo cuando Trump y Rubio fuerón a capturar al dictador de Venezuela?  Sospecho que Andrés Manuel López Obrador y Claudia Sheinbaum no tienen el apoyo del 80%  #NarcoPresirvientaClaudia https://t.co/FpamiLCINv"
2007602848310370457,2026-01-03 23:59:53+00:00,williamludena,"MADURO FUE VENDIDO POR SU PROPIA GENTE DE CONFIANZA, LA CIA PAGO POR SU CABEZA. https://t.co/NXdqubdR1m"
2007602846628282668,2026-01-03 23:59:52+00:00,RevistaSemana,"Estas son las primeras imágenes del dictador Nicolás Maduro, esposado y con grilletes, descendiendo del avión que lo llevó a Estados Unidos, donde enfrentará a la justicia por narcotráfico. https://t.co/if1kX8q65f https://t.co/biKTUnKx3Q"
2007602846146146677,2026-01-03 23:59:52+00:00,AnaGRiverPlate,"El lunes,ya empieza el juicio  a Maduro. Rápida la justicia en EEUU. Igual q acá.🫠"
2007602844992716926,2026-01-03 23:59:52+00:00,Anibalratti,La captura de Maduro por parte del gobierno de Estados Unidos pone en tensión el enfoque de los medios de comunicación. Es difícil condenar al mismo tiempo la intromisión de un país en la soberanía del otro y las condiciones de vida al que sometieron a millones de venezolanos.
2007602843155607672,2026-01-03 23:59:51+00:00,SebastianS82,@GordoEdicion Nadie mejor que ellos saben lo que pasaron y acá tenes que ver a los que defienden a maduro que nunca pisaron Venezuela
